datetime,main_aqi,components_co,components_no,components_no2,components_o3,components_so2,components_pm2_5,components_pm10,components_nh3,temperature_2m,relative_humidity_2m,dew_point_2m,precipitation,surface_pressure,wind_speed_10m,wind_direction_10m,shortwave_radiation,City
2024-01-07 00:00:00,3,747.68,0.0,7.63,98.71,5.78,48.03,53.2,8.99,27.779001,77.01074,23.379002,0.1,939.6076,15.379206,106.31393,0,Islamabad
2024-01-07 01:00:00,3,801.09,0.01,9.94,91.55,5.3,48.77,53.33,8.87,27.829,77.71794,23.579,0.1,939.05145,7.69592,100.784256,18,Islamabad
2024-01-07 02:00:00,3,988.01,0.48,20.39,79.39,6.38,49.33,53.77,10.13,28.779001,75.55697,24.029001,0.0,939.32043,8.39657,120.96369,107,Islamabad
2024-01-07 03:00:00,3,1295.09,2.88,33.24,77.25,9.18,49.95,54.29,11.27,30.979,63.636982,23.279001,0.0,939.72125,5.771239,93.57626,275,Islamabad
2024-01-07 04:00:00,3,1121.52,2.43,23.99,120.16,15.14,42.27,46.51,9.25,32.679,58.315285,23.429,0.0,939.9327,3.096837,234.46223,446,Islamabad
2024-01-07 05:00:00,4,947.95,1.45,14.39,163.08,16.21,39.44,43.52,8.23,33.679,56.30635,23.779001,0.0,939.54517,7.5170207,253.30067,609,Islamabad
2024-01-07 06:00:00,5,821.11,0.79,8.14,191.69,16.21,37.23,40.9,7.54,34.479,54.336906,23.929,0.0,939.2151,8.287822,272.4895,734,Islamabad
2024-01-07 07:00:00,4,640.87,0.47,4.37,171.66,10.73,30.65,36.66,6.4,35.429,50.78022,23.679,0.0,938.43896,7.9932976,277.76508,814,Islamabad
2024-01-07 08:00:00,4,587.46,0.47,4.24,158.79,9.18,29.98,39.12,6.27,36.229,48.00906,23.479,0.0,937.4464,7.92,270.0,817,Islamabad
2024-01-07 09:00:00,4,594.14,0.51,4.88,158.79,9.18,32.57,43.4,6.33,36.979,44.570435,22.929,0.0,936.6329,8.311245,265.03033,764,Islamabad
2024-01-07 10:00:00,4,594.14,0.54,5.57,158.79,8.94,34.94,47.24,6.52,37.579002,42.35879,22.629002,0.0,936.07587,8.64,270.0,667,Islamabad
2024-01-07 11:00:00,4,614.17,0.63,7.2,160.22,10.01,36.57,49.37,6.71,37.679,41.49411,22.379002,0.0,935.4326,7.92,270.0,539,Islamabad
2024-01-07 12:00:00,4,647.54,0.73,10.54,157.36,11.32,36.58,49.38,6.84,37.579002,40.22236,21.779001,0.0,934.9431,7.2,270.0,387,Islamabad
2024-01-07 13:00:00,3,921.25,1.19,29.47,134.47,12.04,37.33,49.44,8.36,35.029,50.98595,23.379002,0.0,935.6322,13.276144,130.60121,197,Islamabad
2024-01-07 14:00:00,3,1295.09,0.42,50.04,97.27,11.44,38.73,49.73,10.89,33.079002,60.0077,24.279001,0.0,935.4768,15.745627,100.53913,68,Islamabad
2024-01-07 15:00:00,3,1415.25,0.0,50.04,75.82,9.66,39.03,49.17,12.92,32.279,63.34131,24.429,0.0,936.183,14.986553,114.102234,3,Islamabad
2024-01-07 16:00:00,3,1308.44,0.0,38.73,71.53,6.97,38.0,47.07,14.19,31.479,67.278015,24.679,0.0,936.88837,15.937878,108.43504,0,Islamabad
2024-01-07 17:00:00,3,1094.82,0.0,29.13,75.82,5.3,37.27,45.17,14.44,31.129002,68.42678,24.629002,0.0,937.29694,17.076298,108.43504,0,Islamabad
2024-01-07 18:00:00,3,988.01,0.0,26.05,79.39,4.77,37.2,44.16,14.19,31.029001,68.61254,24.579,0.0,937.37317,15.937878,108.43504,0,Islamabad
